Energietraeger,1990,2000,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Braunkohle,"170,9","148,3","145,6","145,9","150,1","160,7","160,9","155,8","154,5","149,5","148,4","145,6","114,0","91,7","110,1","116,2","87,5"
Steinkohle,"140,8","143,1","107,9","117,0","112,4","116,4","127,3","118,6","117,7","112,2","92,9","82,6","57,5","42,8","54,6","63,7","44,1"
Kernenergie,"152,5","169,6","134,9","140,6","108,0","99,5","97,3","97,1","91,8","84,6","76,3","76,0","75,1","64,4","69,1","34,7","7,2"
Erdgas,"35,9","49,2","80,9","88,8","85,7","75,9","67,0","60,6","61,5","80,6","86,0","81,6","89,9","94,7","90,3","79,0","80,0"
Mineraloelprodukte,"10,8","5,9","10,1","8,6","7,0","7,5","7,0","5,5","6,1","5,7","5,5","5,1","4,8","4,7","4,6","5,7","4,9"
Windenergie onshore,k. A.,"9,5","39,5","38,4","49,3","50,9","51,8","57,0","72,3","67,7","88,0","90,5","101,2","104,8","90,3","99,7","114,2"
Windenergie offshore,k. A.,"0,0","0,0","0,2","0,6","0,7","0,9","1,5","8,3","12,3","17,7","19,5","24,7","27,3","24,4","25,1","23,6"
Wasserkraft,"19,7","24,9","19,0","21,0","17,7","21,8","23,0","19,6","19,0","20,5","20,2","18,1","20,1","18,7","19,7","17,6","19,5"
Biomasse,k. A.,"1,6","26,5","29,2","32,1","38,3","40,1","42,2","44,6","45,0","45,0","44,6","44,3","45,1","44,3","46,1","43,8"
Photovoltaik,k. A.,"0,0","1,6","12,0","20,0","26,7","30,6","35,4","38,1","37,6","38,8","44,3","45,2","49,5","49,3","60,3","61,1"
Hausmuell,k. A.,"1,8","4,3","4,7","4,8","5,0","5,4","6,1","5,8","5,9","6,0","6,2","5,8","5,8","5,8","5,6","5,5"
Uebrige Energietraeger,"19,3","22,6","21,2","26,5","25,4","25,5","26,2","27,0","27,3","27,3","27,5","27,3","25,4","24,8","24,5","23,8","23,1"
davon PSE,k. A.,"4,5","4,6","6,4","5,8","6,1","5,8","5,9","5,9","5,6","6,0","6,7","5,9","6,6","5,3","6,0","5,8"